student stdTest classroom grade treatment score
357 75.1 15 3 0 12
358 75.1 15 3 0 8
359 75.1 15 3 0 10
360 75.1 15 3 0 6
361 75.1 15 3 0 8
362 75.1 15 3 0 -4
363 75.1 15 3 0 3
364 75.1 15 3 0 -3
365 75.1 15 3 0 -2
366 75.1 15 3 0 5
367 75.1 15 3 0 3
368 75.1 15 3 0 8
369 75.1 15 3 0 5
370 75.1 15 3 0 8
371 75.1 15 3 0 8
372 68.5 16 3 0 2
373 68.5 16 3 0 -1
374 68.5 16 3 0 5
375 68.5 16 3 0 5
376 68.5 16 3 0 8
377 68.5 16 3 0 10
378 68.5 16 3 0 6
379 68.5 16 3 0 -2
380 68.5 16 3 0 13
381 68.5 16 3 0 10
382 68.5 16 3 0 8
383 68.5 16 3 0 2
384 68.5 16 3 0 3
385 68.5 16 3 0 9
386 68.5 16 3 0 12
387 68.5 16 3 0 4
388 68.5 16 3 0 8
389 68.5 16 3 0 13
390 68.5 16 3 0 4
391 68.5 16 3 0 10
392 68.5 16 3 0 3
393 68.5 16 3 0 0
394 68.5 16 3 0 5
395 74.8 17 3 0 15
396 74.8 17 3 0 16
397 74.8 17 3 0 -8
398 74.8 17 3 0 16
399 74.8 17 3 0 8
400 74.8 17 3 0 9
401 74.8 17 3 0 0
402 74.8 17 3 0 15
403 74.8 17 3 0 11
404 74.8 17 3 0 4
405 74.8 17 3 0 3
406 74.8 17 3 0 2
407 74.8 17 3 0 8
408 74.8 17 3 0 3
409 74.8 17 3 0 5
410 74.8 17 3 0 9
411 74.8 17 3 0 14
412 74.8 17 3 0 6
413 74.8 17 3 0 7
414 74.8 17 3 0 14
415 74.8 17 3 0 9
416 74.8 17 3 0 5
417 74.8 17 3 0 3
418 88.3 18 5 0 14
419 88.3 18 5 0 19
420 88.3 18 5 0 16
421 88.3 18 5 0 14
422 88.3 18 5 0 19
423 88.3 18 5 0 13
424 88.3 18 5 0 25
425 88.3 18 5 0 21
426 88.3 18 5 0 15
427 88.3 18 5 0 16
428 88.3 18 5 0 20
429 88.3 18 5 0 15
430 88.3 18 5 0 14
431 88.3 18 5 0 31
432 88.3 18 5 0 10
433 88.3 18 5 0 19
434 88.3 18 5 0 12
435 88.3 18 5 0 17
436 88.3 18 5 0 9
437 88.3 18 5 0 13
438 88.3 18 5 0 20
439 88.3 18 5 0 15
440 88.3 18 5 0 15
441 95.1 19 5 1 29
442 95.1 19 5 1 19
443 95.1 19 5 1 22
444 95.1 19 5 1 17
445 95.1 19 5 1 22
446 95.1 19 5 1 22
447 95.1 19 5 1 16
448 95.1 19 5 1 17
449 95.1 19 5 1 20
450 95.1 19 5 1 25
451 95.1 19 5 1 21
452 95.1 19 5 1 17
453 95.1 19 5 1 11
454 95.1 19 5 1 22
455 95.1 19 5 1 16
456 95.1 19 5 1 21
457 95.1 19 5 1 26
458 95.1 19 5 1 22
459 95.1 19 5 1 11
460 95.1 19 5 1 20
461 95.1 19 5 1 17
462 95.1 19 5 1 20
463 95.1 19 5 1 23
464 95.1 19 5 1 18
465 95.1 19 5 1 24
466 95.1 19 5 1 35
467 95.1 19 5 1 23
468 95.1 19 5 1 26
469 95.1 19 5 1 30
470 95.1 19 5 1 28
471 70 20 3 0 -1
472 70 20 3 0 -2
473 70 20 3 0 -2
474 70 20 3 0 1
475 70 20 3 0 4
476 70 20 3 0 5
477 70 20 3 0 7
478 70 20 3 0 -7
479 70 20 3 0 2
480 70 20 3 0 -2
481 70 20 3 0 2
482 70 20 3 0 -4
483 70 20 3 0 -1
484 70 20 3 0 8
485 70 20 3 0 5
486 70 20 3 0 6
487 70 20 3 0 -1
488 70 20 3 0 -1
489 70 20 3 0 0
490 70 20 3 0 7
